# eastings, northings, cpd, cpd_error, temp_error
4.210033688842527336e+05 9.762370675189646427e+05 2.595371199999999953e+04 1.038148480000000018e+04 1.387928426113349474e+02
4.315297315690917894e+05 9.758203740744192619e+05 2.540574599999999919e+04 1.016229840000000149e+04 1.361450270472044224e+02
4.420566688853552914e+05 9.754289488240599167e+05 2.497632400000000052e+04 9.990529600000001665e+03 1.352640082189083728e+02
4.525840855353554944e+05 9.750627912675635889e+05 2.462619199999999910e+04 9.850476800000000367e+03 1.337159328182967784e+02
4.631118862435143674e+05 9.747219004958659643e+05 2.368032300000000032e+04 9.472129200000001219e+03 1.290384182615062230e+02
4.736401652682329877e+05 9.744062697374888230e+05 2.286506799999999930e+04 9.146027200000000448e+03 1.263234721294604270e+02
4.841688084451389732e+05 9.741158991307129618e+05 2.227041600000000108e+04 8.908166400000000067e+03 1.240312902287218151e+02
4.946977963875513524e+05 9.738507859514997108e+05 2.185638999999999942e+04 8.742556000000000495e+03 1.220759167012458732e+02
5.052271097352334764e+05 9.736109277953017736e+05 2.145820399999999790e+04 8.583281600000000253e+03 1.205217212756250689e+02
5.157567101982502500e+05 9.733963229407138424e+05 2.122617500000000291e+04 8.490469999999999345e+03 1.197328321953739021e+02
5.262865595061387867e+05 9.732069698041884694e+05 2.117957900000000154e+04 8.471831599999999526e+03 1.198547727009555928e+02
5.368166383601784473e+05 9.730428666674757842e+05 2.123884000000000015e+04 8.495536000000000058e+03 1.198778202231156627e+02
5.473469085236489773e+05 9.729040123593753669e+05 2.129412800000000061e+04 8.517651200000002063e+03 1.197282454732284265e+02
5.578773317728099646e+05 9.727904058467994910e+05 2.108462500000000000e+04 8.433850000000000364e+03 1.195575310081720488e+02
5.684078888499467866e+05 9.727020460985116661e+05 2.077620900000000256e+04 8.310483600000001388e+03 1.185036911444540380e+02
5.789385415515631903e+05 9.726389324941596715e+05 2.046471199999999953e+04 8.185884799999999814e+03 1.160646269159755377e+02
5.894692516806519125e+05 9.726010645516559016e+05 2.023307200000000012e+04 8.093228800000000774e+03 1.156746432785249397e+02
6.000000000000000000e+05 9.725884419272071682e+05 2.009248699999999735e+04 8.036994800000000396e+03 1.154119393341975268e+02
6.105307483193480875e+05 9.726010645516559016e+05 1.993730700000000070e+04 7.974922800000001189e+03 1.139983204186834200e+02
6.210614584484368097e+05 9.726389324941596715e+05 1.975531799999999930e+04 7.902127199999999903e+03 1.140426568610882185e+02
6.315921111500532134e+05 9.727020460985116661e+05 1.946329499999999825e+04 7.785318000000000211e+03 1.119338845270822986e+02
6.421226682271900354e+05 9.727904058467994910e+05 1.919816600000000108e+04 7.679266400000000431e+03 1.109988979626363488e+02
